Grande Prairie & District Catholic Schools,9902 - 101 Street,Grande Prairie,T8V 2P4
Grande Prairie Public Library,"101, 9839  103 Avenue",Grande Prairie,T8V 6M7
Grande Prairie Public School District No.2357,10127 - 120 Avenue,Grande Prairie,T8V 8H8
Grande Yellowhead Public School Division,3656 - 1st Avenue,Edson,T7E 1S8
Grasslands Regional School Division No.6,745 - 2nd Ave. East,Brooks,T1R 1L2
Greater St. Albert Roman Catholic Separate School District No. 734,6 St. Vital Avenue,St. Albert,T8N 1K2
High Prairie School Division No.48,PO Box 870,High Prairie,T0G 1E0
Holy Family Catholic Regional Division No.37,10307 - 99 Street,Peace River,T8S 1K1
Holy Spirit Roman Catholic Separate School Division,620 - 12 Street B North,Lethbridge,T1H 2L7
Horizon School Division No.67,6302 - 56 Street ,Taber,T1G 1Z0
Kee Tas Kee Now Tribal Council Education Authority,Box 360,Red Earth Creek,T0G 1X0
"King's University, The",9125 - 50 Street NW,Edmonton,T6B 2H3
Lac La Biche County,PO Box 1679,Lac La Biche,T0A 2C0
Lakeland College,5707 College Drive,Vermilion,T9X 1K5
Lethbridge College,3000 College Drive South,Lethbridge,T1K 1L6
Lethbridge School District No.51,433 - 15 Street South,Lethbridge,T1J 2Z4
Livingstone Range School Division,"PO Box 1810, 410 - 20 Street",Fort Macleod,T0L0Z0
Living Waters Catholic Regional Division No.42,"4204 Kepler Street, Box 1949",Whitecourt,T7S 1P6
MacEwan University,Box 1796,Edmonton,T5J 2P2
Medicine Hat Catholic School Board,1251 1st Avenue SW,Medicine Hat,T1A 8B4
Medicine Hat College,299 College Drive SE,Medicine Hat,T1A 3Y6
Medicine Hat School District No.76,601 - 1 Avenue SW,Medicine Hat,T1A 4Y7
MindFuel,"Suite 260, 3512 - 33 Street NW",Calgary,T2L 2A6
Mount Royal University,4825 Richard Road SW,Calgary,T3E 6K6
NAIT,11762 - 106 Street,Edmonton,T5G 2R1
NorQuest College,10215 - 108 Street NW,Edmonton,T5J 1L6
Northern Gateway Public Schools,"Box 840, 4816 - 49 Avenue",Whitecourt,T7S 1N8
Northern Lakes College,Bag 1,Grouard,T0G 1C0
Northern Lights Library System,"5615 - 48 Street, Postal Bag 8",Elk Point,T0A 1A0
Northern Lights School Division No.69,6005 - 50 Avenue,Bonnyville,T9N 2L4
Northland School Division No.61,"Bag 1400, 9809 - 77 Avenue",Peace River,T8S 1V2
Northwestern Polytechnic,10726 - 106 Avenue,Grande Prairie,T8V 4C4
OpenBSD Foundation,8101 - 160 Street,Edmonton,T5R 2G9
Palliser Regional Schools No.26,"101, 3305 - 18 Avenue North",Lethbridge,T1H 5S1
Parkland School Division No.70,4603 - 48 Street,Stony Plain,T7Z 2A8
Peace Library System,8301 - 110 Street,Grande Prairie,T8W 6T2
Peace River School Division No.10,"4702 - 51 Street, P.O. Box 380",Grimshaw,T0H 1W0
Peace Wapiti School Division No.76,8611a - 108 Street,Grande Prairie,T8V 4C5
Pembina Hills Public Schools,5310 - 49 Street,Barrhead,T7N 1P3
Portage College,9531 - 94 Avenue,Lac La Biche,T0A 2C0
Prairie Land School Division,Box 670,Hanna,T0J 1P0
Prairie Rose School Division No.8,912 - 2nd Avenue,Dunmore,T1B 0K3
Red Deer Catholic Division No.39,5210 - 61 Street,Red Deer,T4N 6N8
Red Deer Polytechnic,100 College Boulevard,Red Deer,T4N 5H5
Red Deer Public Library,4818 - 49th Street,Red Deer,T4N 1T9
Red Deer Public Schools,4747 - 53 Street,Red Deer,T4N 2E6
SAIT Polytechnic,1301 - 16 Avenue NW,Calgary,T2M 0L4
St. Albert Public Schools,60 Sir Winston Churchill Avenue,St. Albert,T8N 0G4
St. Thomas Aquinas Roman Catholic Division No.38,4906 - 50 Avenue,Leduc,T9E 6W9
STEM Innovation Academy,1204 - 96 Avenue SW,Calgary,T2V 0Y1
Stoney Education Authority,"Box 238, Morley Road",Morley,T0L 1N0
Sturgeon Public School Division No.24,9820 - 104th Street,Morinville,T8R 1L8
University of Alberta,2--51 South Academic Building,Edmonton,T6G 2G7
University of Calgary,2500 University Drive NW,Calgary,T2N 1N4
University of Lethbridge,4401 University Drive,Lethbridge,T1K 3M4
Wetaskiwin Regional Public Schools,5704 - 51 Street,Wetaskiwin,T9A 3G1
Whipcord Ltd,3528 30 Street North,Lethbridge,T1H 6Z4
Wild Rose School Division No.66,4912 - 43 Street,Rocky Mountain House,T4T 1P4
Wolf Creek Regional Division No.32,6000 Highway 2A,Ponoka,T4J 1P6
